,Time,Open,High,Low,Close,Volume,label
0,732742,1.31258,1.31844,1.31086,1.31648,1807377.0,0
1,732743,1.31667,1.31813,1.31154,1.31396,1995920.0,1
2,732744,1.31396,1.31583,1.30864,1.31118,1859100.0,1
3,732746,1.31236,1.31415,1.31068,1.31175,192381.0,1
4,732747,1.31193,1.31992,1.31054,1.31811,2009286.0,1
5,732748,1.31811,1.32186,1.31547,1.31927,2003765.0,0
6,732749,1.3192,1.3244,1.31764,1.32238,2024020.0,0
7,732750,1.3224,1.32933,1.31919,1.3288,2003868.0,1
8,732751,1.3287,1.33381,1.32792,1.33106,1804041.0,1
9,732753,1.33064,1.33241,1.33064,1.33204,186953.0,1
10,732754,1.33206,1.33213,1.3278,1.33037,2029661.0,1
11,732755,1.33035,1.33232,1.32701,1.33113,2693602.0,0
12,732756,1.33128,1.34094,1.32861,1.33947,2675922.0,0
13,732757,1.33954,1.33979,1.3309,1.33241,2670632.0,1
14,732758,1.3323,1.3429307153699988,1.3183147548382637,1.32789,2425093.0,0
15,732760,1.32801,1.32933,1.32571,1.32689,206877.0,1
16,732761,1.32703,1.33455,1.32534,1.33268,632612.0,0
17,732762,1.33272,1.33667,1.33013,1.33386,612785.0,1
18,732763,1.33395,1.33716,1.32984,1.3311,627257.0,0
19,732764,1.3311,1.33517,1.33024,1.33244,632010.0,1
20,732765,1.33244,1.33985,1.3288,1.33535,881928.0,0
21,732767,1.3371,1.3377,1.33312,1.33402,83435.0,1
22,732768,1.33398,1.33802,1.3337,1.33663,1083419.0,1
23,732769,1.33663,1.33802,1.33179,1.3335,1091930.0,1
24,732770,1.3335,1.3381,1.3327,1.3372,1055743.0,0
25,732771,1.3372,1.3441,1.33525,1.34225,279384.30233632185,0
26,732772,1.3422,1.34268,1.3360287450548733,1.3378,393636.0,1
27,732774,1.3374,1.33798,1.3359,1.3361,41209.0,1
28,732775,1.33615,1.3381,1.334,1.3379,452817.0,1
29,732776,1.3379,1.3456,1.33755,1.34205,1192351.0,0
30,732777,1.3421,1.34415,1.34065,1.3435,1047311.0,1
31,732778,1.3435,1.35155,1.34315,1.34965,855297.0,1
32,732779,1.34965,1.35525,1.34845,1.35255,392266.0,1
33,732781,1.3554,1.3577,1.35221,1.3561,64269.0,1
34,732782,1.3561,1.3567,1.35221,1.3534,967168.0,1
35,732783,1.3534,1.3594,1.3527,1.3584,1042362.0,0
36,732784,1.3584,1.362,1.3556,1.3603,1197684.0,0
37,732785,1.3603,1.3628,1.35605,1.36165,913507.0,0
38,732786,1.36165,1.3637,1.3586,1.3588,976041.0,1
39,732788,1.35975,1.3607,1.35915,1.3594,38833.0,1
40,732789,1.3594,1.3596,1.354,1.35725,718139.0,1
41,732790,1.3573,1.3643,1.3548,1.3626,1110636.0,1
42,732791,1.36255,1.3665,1.3622,1.3645,886570.0,0
43,732792,1.3645,1.3654,1.3584,1.35975,1223986.0,1
44,732793,1.3597,1.3682,1.35865,1.3652,941168.0,0
45,732795,1.36305,1.3648,1.3615,1.36236,134314.0,0
46,732796,1.36236,1.36777,1.35884,1.36455,663900.0,0
47,732797,1.36449,1.36711,1.35897,1.35941,663177.0,0
48,732798,1.3594,1.36097,1.35598,1.3592,658596.0,0
49,732799,1.35922,1.36193,1.35459,1.35488,666034.0,1
50,732800,1.35496,1.36088,1.35344,1.35893,513053.0,0
51,732802,1.36015,1.36089,1.35883,1.36033,151008.0,0
52,732803,1.36034,1.36255,1.35928,1.35955,673187.0,0
53,732804,1.35957,1.36202,1.35155,1.35441,672752.0,0
54,732805,1.35445,1.35641,1.35187,1.35307,657727.0,0
55,732806,1.35308,1.35624,1.34643,1.3466,675903.0,0
56,732807,1.34656,1.35305,1.34628,1.35222,519579.0,1
57,732809,1.35343,1.35433,1.35271,1.35337,152853.0,0
58,732810,1.35338,1.3557,1.35235,1.35405,665581.0,0
59,732811,1.35401,1.36071,1.35264,1.35917,667008.0,0
60,732812,1.35915,1.36081,1.35035,1.3527,674245.0,0
61,732813,1.3527,1.35421,1.34773,1.34915,666123.0,0
62,732814,1.34919,1.35205,1.34648,1.35053,509342.0,0
63,732816,1.35123,1.35288,1.35123,1.35159,78458.0,0
64,732817,1.35153,1.352,1.34359,1.34574,661192.0,0
65,732818,1.34573,1.34744,1.34376,1.34497,663467.0,0
66,732819,1.34495,1.35004,1.34149,1.34525,667774.0,0
67,732820,1.34522,1.34602,1.34152,1.34164,669238.0,0
68,732821,1.34164,1.34714,1.34114,1.3438,403512.0,1
69,732823,1.34465,1.3451,1.34399,1.34482,256337.0,0
70,732824,1.34484,1.34579,1.34407,1.34445,279384.3023450575,1
71,732825,1.34432,1.35183,1.34192,1.34415,662003.0,0
72,732826,1.34415,1.34563,1.34079,1.34287,662049.0,0
73,732827,1.34293,1.3471,1.34219,1.34527,660984.0,1
74,732828,1.34524,1.34602,1.33915,1.34439,403855.0,1
75,732830,1.3441,1.34512,1.34353,1.3445,333276.0,1
76,732831,1.34448,1.34984,1.34317,1.34968,657504.0,0
77,732832,1.34967,1.35515,1.34885,1.35122,663553.0,0
78,732833,1.35123,1.3569809095666245,1.34844,1.34952,660209.0,0
79,732834,1.34957,1.35113,1.34179,1.34205,660494.0,0
80,732835,1.34207,1.34269,1.33225,1.33708,504626.0,0
81,732837,1.33671,1.33711,1.33423,1.33466,76828.0,0
82,732838,1.33461,1.33606,1.33325,1.33574,652916.0,0
83,732839,1.33577,1.33683,1.3286,1.32908,646696.0,1
84,732840,1.32914,1.33144,1.32621,1.33037,647680.0,0
85,732841,1.33036,1.33221,1.32789,1.33115,653718.0,1
86,732842,1.3311,1.33877,1.33047,1.33867,390201.0,1
87,732844,1.33765,1.3391,1.33737,1.33836,339299.0,1
88,732845,1.33837,1.34269,1.336718117333298,1.34262,640920.0,0
89,732846,1.3426,1.34343,1.3384,1.34274,635897.0,1
90,732847,1.34277,1.3436,1.3382,1.33852,640239.0,0
91,732848,1.33857,1.34044,1.33717,1.33842,637619.0,1
92,732849,1.33847,1.34683,1.33772,1.34676,494777.0,0
93,732851,1.34648,1.34714,1.34565,1.34705,69804.0,0
94,732852,1.34707,1.34719,1.34384,1.34572,625975.0,0
95,732853,1.34574,1.34764,1.3431,1.34474,631610.0,1
96,732854,1.34474,1.34548,1.34167,1.3454,629597.0,0
97,732855,1.34545,1.34788,1.34233,1.34407,630265.0,1
98,732856,1.34404,1.35395,1.34284,1.35393,383641.0,1
99,732858,1.35358,1.35465,1.35309,1.35318,337558.0,1
100,732859,1.35322,1.36374,1.35258,1.3619,612218.0,0
101,732860,1.36197,1.36323,1.35833,1.36066,607820.0,1
102,732861,1.3607,1.36299,1.36045,1.36056,601427.0,0
103,732862,1.3606,1.36574,1.35784,1.35943,615417.0,0
104,732863,1.35941,1.36396,1.35678,1.36253,471048.0,1
105,732865,1.36253,1.36337,1.36206,1.36235,57967.0,1
106,732866,1.36233,1.36372,1.36086,1.36197,576241.0,1
107,732867,1.36196,1.37822,1.35935,1.37419,597011.0,0
108,732868,1.37423,1.37795,1.37299,1.37462,604048.0,0
109,732869,1.3746,1.37971,1.37428,1.37795,595946.0,0
110,732870,1.37792,1.38103,1.37621,1.37811,343760.0,1
111,732872,1.37837,1.37855,1.37676,1.37785,331502.0,1
112,732873,1.37787,1.38019,1.37603,1.37754,524186.0,1
113,732874,1.37755,1.38212,1.3758,1.38115,538552.0,1
114,732875,1.38116,1.3831,1.37565,1.38052,557592.0,0
115,732876,1.38066,1.38284,1.37852,1.37929,575840.0,1
116,732877,1.37929,1.38418,1.37777,1.38251,656103.0,0
117,732879,1.38251,1.38438,1.3825,1.38366,267895.0,0
118,732880,1.38363,1.38452,1.37912,1.38265,862190.0,0
119,732881,1.38287,1.38515,1.37991,1.38042,862338.0,0
120,732882,1.38008,1.38251,1.3683731285312029,1.37083,859747.0,0
121,732883,1.37074,1.37714,1.36888,1.37426,859406.0,0
122,732884,1.37404,1.37492,1.36239,1.36306,800996.0,1
123,732886,1.36206,1.36415,1.36058,1.3626,61787.0,1
124,732887,1.36254,1.37274,1.36175,1.371,861036.0,0
125,732888,1.37115,1.3724,1.36491,1.36528,862991.0,1
126,732889,1.36534,1.37099,1.36363,1.36527,858960.0,0
127,732890,1.36525,1.37113,1.36478,1.36974,861813.0,0
